,compound,platform,prob,UniProt_name
0,Glycerophospholipids,SwissTargetPrediction,1,SC6A4_HUMAN
1,Glycerophospholipids,SEA,1.57E-09,SC6A4_RAT
2,Glycerophospholipids,SEA,1.63E-37,HRH1_MOUSE
3,Glycerophospholipids,SEA,2.59E-24,TRXR2_PLAF7
4,Glycerophospholipids,SEA,7.51E-20,CASP5_HUMAN
5,Glycerophospholipids,SEA,1.64E-18,NMT_ASPFU
6,Glycerophospholipids,SEA,4.02E-17,CASP4_HUMAN
7,Glycerophospholipids,SEA,7.77E-16,Q0GMK6_RABIT
8,Glycerophospholipids,SEA,4.81E-12,HRH4_MOUSE
9,Glycerophospholipids,SEA,1.68E-10,PVDQ_PSEAE
10,Glycerophospholipids,SEA,6.38E-08,PMM2_HUMAN
11,Glycerophospholipids,SEA,1.80E-07,ADA2A_BOVIN
12,Glycerophospholipids,SEA,4.55E-07,PHOP1_HUMAN
13,Glycerophospholipids,SEA,1.95E-06,MGLL_HUMAN
14,Glycerophospholipids,SEA,3.94E-06,Q388H8_TRYB2
15,Glycerophospholipids,SEA,7.75E-06,HRH4_RAT
0,Glycerophospholipids,SuperPred,0.9592,SC6A4_HUMAN
1,Glycerophospholipids,SuperPred,0.9538,KLF5_HUMAN
2,Glycerophospholipids,SuperPred,0.9138,CATD_HUMAN
3,Glycerophospholipids,SuperPred,0.9132,CLK1_HUMAN
4,Glycerophospholipids,SuperPred,0.9069,GSTP1_HUMAN
5,Glycerophospholipids,SuperPred,0.888,DCTP1_HUMAN
6,Glycerophospholipids,SuperPred,0.8848,EGLN1_HUMAN
7,Glycerophospholipids,SuperPred,0.8704,KDM1A_HUMAN
8,Glycerophospholipids,SuperPred,0.8654,PSB1_HUMAN
9,Glycerophospholipids,SuperPred,0.8337,TIF1A_HUMAN
10,Glycerophospholipids,SuperPred,0.8313,NFKB1_HUMAN
11,Glycerophospholipids,SuperPred,0.8233,SC6A2_HUMAN
12,Glycerophospholipids,SuperPred,0.82,CXCR4_HUMAN
13,Glycerophospholipids,SuperPred,0.8049,FAS_HUMAN
14,Glycerophospholipids,SuperPred,0.8008,CLK4_HUMAN
15,Glycerophospholipids,SuperPred,0.7958,LOX12_HUMAN
16,Glycerophospholipids,SuperPred,0.7934,CDK4_HUMAN
17,Glycerophospholipids,SuperPred,0.7847,TNIK_HUMAN
18,Glycerophospholipids,SuperPred,0.7836,HDAC2_HUMAN
19,Glycerophospholipids,SuperPred,0.7822,CCNE1_HUMAN
20,Glycerophospholipids,SuperPred,0.7799,MPIP3_HUMAN
21,Glycerophospholipids,SuperPred,0.7783,GPBAR_HUMAN
22,Glycerophospholipids,SuperPred,0.776,GTR1_HUMAN
23,Glycerophospholipids,SuperPred,0.7736,CSK2B_HUMAN
24,Glycerophospholipids,SuperPred,0.7686,MPIP2_HUMAN
25,Glycerophospholipids,SuperPred,0.7623,HDAC9_HUMAN
26,Glycerophospholipids,SuperPred,0.7572,MDM4_HUMAN
27,Glycerophospholipids,SuperPred,0.7561,PTN11_HUMAN
28,Glycerophospholipids,SuperPred,0.7556,DPP4_HUMAN
29,Glycerophospholipids,SuperPred,0.7545,CATB_HUMAN
30,Glycerophospholipids,SuperPred,0.752,NR1I2_HUMAN
31,Glycerophospholipids,SuperPred,0.7497,FLT3_HUMAN
32,Glycerophospholipids,SuperPred,0.7475,PDE3A_HUMAN
33,Glycerophospholipids,SuperPred,0.7442,GLRA1_HUMAN
34,Glycerophospholipids,SuperPred,0.7388,PKN2_HUMAN
35,Glycerophospholipids,SuperPred,0.7387,TLR8_HUMAN
36,Glycerophospholipids,SuperPred,0.7381,NTRK3_HUMAN
37,Glycerophospholipids,SuperPred,0.736,QRFPR_HUMAN
38,Glycerophospholipids,SuperPred,0.7307,PKN1_HUMAN
39,Glycerophospholipids,SuperPred,0.7299,ITB1_HUMAN
40,Glycerophospholipids,SuperPred,0.7153,CDK1_HUMAN
41,Glycerophospholipids,SuperPred,0.7149,ACACB_HUMAN
42,Glycerophospholipids,SuperPred,0.7113,MMP7_HUMAN
43,Glycerophospholipids,SuperPred,0.7112,CDK5_HUMAN
44,Glycerophospholipids,SuperPred,0.7049,LEG3_HUMAN
45,Glycerophospholipids,SuperPred,0.7035,CDK5_HUMAN
46,Glycerophospholipids,SuperPred,0.7029,HDA11_HUMAN
47,Glycerophospholipids,SuperPred,0.6968,ITB1_HUMAN
48,Glycerophospholipids,SuperPred,0.6951,NF2L2_HUMAN
49,Glycerophospholipids,SuperPred,0.6898,GPR55_HUMAN
50,Glycerophospholipids,SuperPred,0.6846,ATG4B_HUMAN
51,Glycerophospholipids,SuperPred,0.6801,CDK7_HUMAN
52,Glycerophospholipids,SuperPred,0.6766,MINK1_HUMAN
53,Glycerophospholipids,SuperPred,0.6719,PHF8_HUMAN
54,Glycerophospholipids,SuperPred,0.6689,IKKA_HUMAN
55,Glycerophospholipids,SuperPred,0.6672,PSB9_HUMAN
56,Glycerophospholipids,SuperPred,0.6659,AA2BR_HUMAN
57,Glycerophospholipids,SuperPred,0.6644,PDE3B_HUMAN
58,Glycerophospholipids,SuperPred,0.6618,SL9A1_HUMAN
59,Glycerophospholipids,SuperPred,0.6576,ERAP1_HUMAN
60,Glycerophospholipids,SuperPred,0.6572,VGFR1_HUMAN
61,Glycerophospholipids,SuperPred,0.6515,STAT1_HUMAN
62,Glycerophospholipids,SuperPred,0.6512,KDM5A_HUMAN
63,Glycerophospholipids,SuperPred,0.6511,SCN3A_HUMAN
64,Glycerophospholipids,SuperPred,0.6471,NLK_HUMAN
65,Glycerophospholipids,SuperPred,0.6463,STK3_HUMAN
66,Glycerophospholipids,SuperPred,0.645,GLSK_HUMAN
67,Glycerophospholipids,SuperPred,0.6447,ADA10_HUMAN
68,Glycerophospholipids,SuperPred,0.6409,DUS3_HUMAN
69,Glycerophospholipids,SuperPred,0.637,IRAK1_HUMAN
70,Glycerophospholipids,SuperPred,0.6316,TMPS6_HUMAN
71,Glycerophospholipids,SuperPred,0.6299,PSB2_HUMAN
72,Glycerophospholipids,SuperPred,0.6294,NMT1_HUMAN
73,Glycerophospholipids,SuperPred,0.6277,SC6A9_HUMAN
74,Glycerophospholipids,SuperPred,0.6275,DHI2_HUMAN
75,Glycerophospholipids,SuperPred,0.6256,MCR_HUMAN
76,Glycerophospholipids,SuperPred,0.6196,SC6A5_HUMAN
77,Glycerophospholipids,SuperPred,0.6177,ULK3_HUMAN
78,Glycerophospholipids,SuperPred,0.6163,MCHR1_HUMAN
79,Glycerophospholipids,SuperPred,0.6129,PTN2_HUMAN
80,Glycerophospholipids,SuperPred,0.6124,HDAC4_HUMAN
81,Glycerophospholipids,SuperPred,0.6076,P2RX4_HUMAN
82,Glycerophospholipids,SuperPred,0.6026,HDAC8_HUMAN
83,Glycerophospholipids,SuperPred,0.6007,PGH1_HUMAN
